trm_cde,crs_comp1,crs_comp2,crs_comp3,crs_title,credit_hrs,monday_cde,tuesday_cde,wednesday_cde,thursday_cde,friday_cde,begin_tim,end_tim,last_name,first_name
10,ACCT,201,A,PRINCIPLES OF ACCOUNTING I,3,M,,W,,F,9:00:00 AM,9:50:00 AM,Stone,Jennifer
10,ACCT,201,B,PRINCIPLES OF ACCOUNTING I,3,M,,W,,F,11:00:00 AM,11:50:00 AM,Snyder,Richard
10,ACCT,201,D,PRINCIPLES OF ACCOUNTING I,3,M,,W,,F,1:00:00 PM,1:50:00 PM,Snyder,Richard
10,ACCT,201,E,PRINCIPLES OF ACCOUNTING I,3,M,,W,,F,2:00:00 PM,2:50:00 PM,Snyder,Richard
10,ACCT,201,O,PRINCIPLES OF ACCOUNTING I,3,,,,,,,,Stone,Jennifer
30,ACCT,202,A,PRINCIPLES OF ACCOUNTING II,3,M,,W,,F,9:00:00 AM,9:50:00 AM,Stone,Jennifer
30,ACCT,202,B,PRINCIPLES OF ACCOUNTING II,3,M,,W,,F,11:00:00 AM,11:50:00 AM,Stone,Jennifer
30,ACCT,202,D,PRINCIPLES OF ACCOUNTING II,3,M,,W,,F,1:00:00 PM,1:50:00 PM,Snyder,Richard
30,ACCT,202,E,PRINCIPLES OF ACCOUNTING II,3,M,,W,,F,3:00:00 PM,3:50:00 PM,Snyder,Richard
30,ACCT,202,O,PRINCIPLES OF ACCOUNTING II,3,,,,,,,,Stone,Jennifer
10,ACCT,301,A,INTERMEDIATE ACCOUNTING I,3,,,,R,,4:00:00 PM,5:50:00 PM,McFeaters,Michelle
10,ACCT,301,A,INTERMEDIATE ACCOUNTING I,3,M,,W,,F,8:00:00 AM,8:50:00 AM,McFeaters,Michelle
10,ACCT,301,B,INTERMEDIATE ACCOUNTING I,3,,,,R,,4:00:00 PM,5:50:00 PM,Stone,Jennifer
10,ACCT,301,B,INTERMEDIATE ACCOUNTING I,3,M,,W,,F,10:00:00 AM,10:50:00 AM,Stone,Jennifer
30,ACCT,302,A,INTERMEDIATE ACCOUNTING II,3,M,,W,,F,8:00:00 AM,8:50:00 AM,McFeaters,Michelle
30,ACCT,302,A,INTERMEDIATE ACCOUNTING II,3,,,,R,,4:00:00 PM,5:50:00 PM,McFeaters,Michelle
30,ACCT,302,B,INTERMEDIATE ACCOUNTING II,3,,,,R,,4:00:00 PM,5:50:00 PM,McFeaters,Michelle
30,ACCT,302,B,INTERMEDIATE ACCOUNTING II,3,M,,W,,F,10:00:00 AM,10:50:00 AM,McFeaters,Michelle
10,ACCT,303,A,COST ACCOUNTING,3,,T,,R,,8:00:00 AM,9:15:00 AM,McFeaters,Michelle
30,ACCT,321,A,ACCT INFORMATION SYSTEMS,3,,T,,R,,10:05:00 AM,11:20:00 AM,Stone,Jennifer
10,ACCT,401,A,ADVANCED ACCOUNTING I,3,,T,,R,,10:05:00 AM,11:20:00 AM,Stone,Jennifer
30,ACCT,402,A,ADVANCED ACCOUNTING II,3,M,,W,,F,12:00:00 PM,12:50:00 PM,Snyder,Richard
